GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
FlowStudy,com.flowstudy.core.contract,StudyContract.TodoDTO.TaskStatus,21,0,0,0,1,0,1,0,1,0
FlowStudy,com.flowstudy.core.contract,StudyContract.SubjectDTO,20,0,0,0,2,0,2,0,2,0
FlowStudy,com.flowstudy.core.contract,MilestoneAndSocialContract.MilestoneDTO,7,39,2,2,2,6,2,2,0,2
FlowStudy,com.flowstudy.core.contract,StudyContract.FocusLogDTO,24,0,0,0,2,0,2,0,2,0
FlowStudy,com.flowstudy.core.contract,TimerContract.Mode,0,21,0,0,0,2,0,1,0,1
FlowStudy,com.flowstudy.core.contract,TimerContract.TimerConfigDTO,6,18,0,2,1,4,1,2,1,1
FlowStudy,com.flowstudy.core.contract,StudyContract.TodoDTO,41,0,0,0,3,0,3,0,3,0
FlowStudy,com.flowstudy.core.contract,TimerContract.State,0,21,0,0,0,2,0,1,0,1
FlowStudy,com.flowstudy.core.contract,MilestoneAndSocialContract.CheckInDTO,23,0,0,0,2,0,2,0,2,0
FlowStudy,com.flowstudy.core,TimerStateMachine,13,182,14,16,2,56,13,12,0,10
FlowStudy,com.flowstudy.core,MilestoneScheduler,2,53,2,4,1,11,2,3,0,2
